from|to
50|1
152|1
271|1
326|1
387|1
436|1
454|1
458|1
677|1
751|1
752|1
897|1
942|1
77|2
249|2
471|2
87|3
184|3
252|3
303|3
315|3
442|3
502|3
539|3
593|3
865|3
896|3
950|3
999|3
67|4
133|4
186|4
249|4
255|4
268|4
397|4
415|4
528|4
574|4
760|4
776|4
817|4
38|5
164|5
262|5
306|5
350|5
506|5
587|5
682|5
695|5
146|6
183|6
359|6
364|6
400|6
426|6
537|6
765|6
950|6
134|7
138|7
312|7
479|7
676|7
688|7
698|7
920|7
976|7
14|8
92|8
181|8
245|8
265|8
333|8
399|8
720|8
740|8
855|8
958|8
14|9
46|9
207|9
299|9
485|9
493|9
551|9
618|9
624|9
663|9
719|9
826|9
190|10
261|10
272|10
348|10
387|10
464|10
482|10
652|10
694|10
766|10
777|10
878|10
79|11
409|11
411|11
412|11
462|11
602|11
705|11
714|11
779|11
108|12
384|12
430|12
440|12
446|12
510|12
539|12
730|12
750|12
830|12
883|12
95|13
130|13
414|13
436|13
768|13
827|13
900|13
917|13
1|14
174|14
209|14
211|14
232|14
264|14
318|14
327|14
439|14
461|14
685|14
748|14
779|14
785|14
988|14
288|15
431|15
455|15
781|15
401|16
528|16
599|16
696|16
799|16
106|17
162|17
527|17
562|17
610|17
833|17
840|17
841|17
945|17
958|17
76|18
115|18
172|18
282|18
406|18
538|18
558|18
594|18
719|18
884|18
192|19
477|19
729|19
770|19
814|19
997|19
75|20
100|20
189|20
249|20
262|20
425|20
661|20
801|20
815|20
845|20
277|21
546|21
603|21
607|21
612|21
628|21
963|21
91|22
121|22
348|22
393|22
401|22
418|22
454|22
614|22
894|22
917|22
78|23
414|23
509|23
531|23
557|23
623|23
966|23
26|24
28|24
168|24
206|24
363|24
446|24
467|24
526|24
558|24
631|24
763|24
78|25
112|25
166|25
189|25
415|25
485|25
519|25
591|25
604|25
715|25
815|25
833|25
838|25
910|25
971|25
987|25
29|26
58|26
125|26
135|26
249|26
264|26
267|26
560|26
917|26
41|27
82|27
88|27
159|27
234|27
270|27
289|27
351|27
378|27
520|27
523|27
567|27
659|27
672|27
407|28
633|28
717|28
917|28
922|28
26|29
59|29
108|29
462|29
622|29
845|29
861|29
906|29
979|29
984|29
113|30
378|30
455|30
537|30
565|30
601|30
706|30
717|30
740|30
781|30
872|30
48|31
201|31
368|31
409|31
688|31
741|31
811|31
952|31
100|32
119|32
126|32
385|32
441|32
909|32
962|32
964|32
24|33
55|33
203|33
291|33
377|33
397|33
541|33
712|33
723|33
757|33
796|33
802|33
857|33
